,region,feature,importance
13,2,motor,-0.899452082728
12,1,motor,-0.891547579888
102,1,visual-motion,-0.857087142183
103,2,visual-motion,-0.835043354587
58,1,gaze,-0.814414353584
110,1,speech,-0.797466619821
100,1,sensory,-0.754190038452
111,2,speech,-0.718589021923
56,1,language,-0.705114207788
101,2,sensory,-0.692819703653
119,2,olfaction,-0.669416316343
59,2,gaze,-0.60420746458
80,1,reading,-0.595182102808
57,2,language,-0.594586475551
118,1,olfaction,-0.58325778074
65,2,math,-0.534941317269
64,1,math,-0.531752191345
81,2,reading,-0.531295458807
15,2,spatial,-0.490300666047
39,2,action,-0.47800488915
27,2,training,-0.4742053862
23,2,sequences,-0.46729689878
28,1,spatial_methods,-0.460696235772
29,2,spatial_methods,-0.453518353331
22,1,sequences,-0.441580416921
26,1,training,-0.433507718293
116,1,conflict,-0.410483401156
46,1,methods1,-0.394958745238
14,1,spatial,-0.385307126138
38,1,action,-0.37497155675
4,1,imagery,-0.372188733938
47,2,methods1,-0.361130110795
94,1,WM,-0.356696332424
108,1,novelty,-0.350504482572
109,2,novelty,-0.314733278665
117,2,conflict,-0.2913402911
77,2,genetics,-0.273007790699
54,1,music,-0.267412865209
5,2,imagery,-0.260013325778
37,2,semantics,-0.252058186312
97,2,priming,-0.247947422411
50,1,categorization,-0.229334406833
86,1,cues,-0.225220323825
96,1,priming,-0.22133340821
87,2,cues,-0.216110843619
2,1,attention,-0.213524371816
62,1,inhibition,-0.204983772946
55,2,music,-0.203389450289
85,2,methods3,-0.196556350413
60,1,methods2,-0.195190476313
115,2,body,-0.181406202055
53,2,switching,-0.173600426228
114,1,body,-0.172245192632
3,2,attention,-0.153109393701
95,2,WM,-0.148216686524
84,1,methods3,-0.128708918087
18,1,autism,-0.11978984351
76,1,genetics,-0.10657144405
51,2,categorization,-0.0678191206854
36,1,semantics,-0.0606764718802
93,2,learning,-0.0523281033062
88,1,errors,-0.049127433044
21,2,eating-disorder,-0.0443285572402
83,2,face/emotion,-0.040621426473
52,1,switching,-0.0266554372345
89,2,errors,-0.0215891077021
10,1,causal,-0.0186556580716
70,1,communication,-0.0134047115741
31,2,pain,0.00952471961688
91,2,methods4,0.0110046969078
82,1,face/emotion,0.012474710505
6,1,ptsd,0.0212575651132
43,2,schizopherenia,0.030988752686
61,2,methods2,0.0399381333368
90,1,methods4,0.0417966404244
40,1,scene,0.0509887499373
63,2,inhibition,0.0515125678783
19,2,autism,0.060960677904
30,1,pain,0.0767300731024
11,2,causal,0.0814828128769
42,1,schizopherenia,0.100054790898
92,1,learning,0.103378695636
69,2,taste,0.109705880458
49,2,fear,0.126704641058
98,1,Alzheimer-Parkinson,0.133813940436
41,2,scene,0.137476389055
44,1,sex,0.146754399629
9,2,adhd,0.153259558001
7,2,ptsd,0.17060619359
8,1,adhd,0.178837936945
45,2,sex,0.265801606708
99,2,Alzheimer-Parkinson,0.267982470125
71,2,communication,0.27739429571
73,2,drug_methods,0.278332438308
72,1,drug_methods,0.301723697919
106,1,memory,0.330560793315
17,2,depression,0.34705084426
25,2,reward,0.36059902484
68,1,taste,0.376381334525
20,1,eating-disorder,0.381827992665
67,2,game,0.390327892963
75,2,smoking,0.393088389717
16,1,depression,0.395277684582
107,2,memory,0.444903393491
34,1,personality,0.451244213674
79,2,decision-making,0.517572060411
105,2,network,0.543422293404
112,1,emotion,0.553754341378
104,1,network,0.569186796286
74,1,smoking,0.57451148524
35,2,personality,0.596905959137
48,1,fear,0.636046659997
0,1,social,0.702313592341
113,2,emotion,0.703815061779
66,1,game,0.720115190287
24,1,reward,0.744109172569
33,2,awareness,0.934367563485
78,1,decision-making,0.938975119862
32,1,awareness,0.939233298706
1,2,social,1.09744918294
