,region,feature,importance
24,1,fear,-0.836953389309
15,1,pain,-0.830032004796
6,1,motor,-0.749310300386
34,1,taste,-0.697503542016
38,1,genetics,-0.675190177885
59,1,olfaction,-0.661671617276
41,1,face/emotion,-0.548735616305
29,1,gaze,-0.523313520069
36,1,drug_methods,-0.521709158251
3,1,ptsd,-0.481699017912
51,1,visual-motion,-0.477393560704
10,1,eating-disorder,-0.474157008796
13,1,training,-0.438567548716
4,1,adhd,-0.408345579739
8,1,depression,-0.381699285597
27,1,music,-0.377468480811
57,1,body,-0.372268021607
14,1,spatial_methods,-0.317846276921
50,1,sensory,-0.26597382803
12,1,reward,-0.264321101319
55,1,speech,-0.254769888154
21,1,schizopherenia,-0.253671304061
42,1,methods3,-0.229048355284
58,1,conflict,-0.219754833082
22,1,sex,-0.163954117705
23,1,methods1,-0.161590640365
9,1,autism,-0.140575857079
11,1,sequences,-0.120465409056
30,1,methods2,-0.112223181219
43,1,cues,-0.0982809890352
28,1,language,-0.0960434334187
2,1,imagery,-0.0944489067829
46,1,learning,-0.0524371370479
31,1,inhibition,-0.0520249552265
7,1,spatial,-0.0362486867803
44,1,errors,0.0266908133669
56,1,emotion,0.0568736968533
33,1,game,0.0709245711117
47,1,WM,0.0774873642368
1,1,attention,0.0779393456259
48,1,priming,0.0790068080577
37,1,smoking,0.0837041491965
49,1,Alzheimer-Parkinson,0.0921967552266
45,1,methods4,0.107824375249
26,1,switching,0.14307545945
5,1,causal,0.151538413098
20,1,scene,0.154212078228
17,1,personality,0.19394574875
54,1,novelty,0.201709378981
19,1,action,0.21384508032
39,1,decision-making,0.257270616435
25,1,categorization,0.262763560158
40,1,reading,0.289819755293
35,1,communication,0.365279725806
32,1,math,0.421180381286
52,1,network,0.480191714336
18,1,semantics,0.526455821189
0,1,social,0.63498785782
16,1,awareness,0.781771093522
53,1,memory,0.864188137383
