,region,feature,importance
38,1,genetics,-0.551983009519
3,1,ptsd,-0.532118717439
27,1,music,-0.485161073228
15,1,pain,-0.479973987691
10,1,eating-disorder,-0.472788016545
30,1,methods2,-0.42581806803
59,1,olfaction,-0.424867306395
55,1,speech,-0.408949425233
12,1,reward,-0.40090182435
13,1,training,-0.39695086785
24,1,fear,-0.352973056226
11,1,sequences,-0.348872047805
6,1,motor,-0.336307210236
29,1,gaze,-0.330897580502
36,1,drug_methods,-0.301245189479
22,1,sex,-0.300286358131
23,1,methods1,-0.273198073232
14,1,spatial_methods,-0.270575990681
58,1,conflict,-0.257538079509
41,1,face/emotion,-0.247014774224
46,1,learning,-0.242750595225
51,1,visual-motion,-0.216741740967
50,1,sensory,-0.185149640425
42,1,methods3,-0.183107397654
34,1,taste,-0.181923033656
8,1,depression,-0.154645994441
57,1,body,-0.147214476187
21,1,schizopherenia,-0.134359263875
43,1,cues,-0.127592979039
35,1,communication,-0.0857272995673
48,1,priming,-0.0829847593209
47,1,WM,-0.0769899393704
4,1,adhd,-0.0742325395194
26,1,switching,-0.0685664427512
28,1,language,-0.0392326922918
54,1,novelty,-0.025775109225
9,1,autism,-0.0244533009182
40,1,reading,-0.0230474016514
31,1,inhibition,-0.0197068599376
56,1,emotion,-0.016862278006
7,1,spatial,-0.00570302041884
44,1,errors,0.0135000667973
32,1,math,0.0142891249721
5,1,causal,0.0622432734899
45,1,methods4,0.0759122348582
2,1,imagery,0.0834970540023
25,1,categorization,0.0935962626355
37,1,smoking,0.0973742331062
18,1,semantics,0.112113374443
1,1,attention,0.130543631477
19,1,action,0.152794332718
20,1,scene,0.174442522232
49,1,Alzheimer-Parkinson,0.213940891002
39,1,decision-making,0.22445113167
33,1,game,0.230579867604
17,1,personality,0.400541280882
53,1,memory,0.469535059777
52,1,network,0.717620670992
0,1,social,0.747828908145
16,1,awareness,0.799455563477
