,region,feature,importance
24,1,motor,-0.962974195169
112,1,language,-0.916383468599
204,1,visual-motion,-0.913092873299
98,3,fear,-0.836953389309
62,3,pain,-0.830032004796
200,1,sensory,-0.797694490728
220,1,speech,-0.762709098973
205,2,visual-motion,-0.762537371344
26,3,motor,-0.749310300386
138,3,taste,-0.697503542016
116,1,gaze,-0.693021701716
154,3,genetics,-0.675190177885
238,3,olfaction,-0.661671617276
236,1,olfaction,-0.647470495032
128,1,math,-0.632948866637
25,2,motor,-0.607272474896
117,2,gaze,-0.603060052928
160,1,reading,-0.571621172954
155,4,genetics,-0.551983009519
166,3,face/emotion,-0.548735616305
44,1,sequences,-0.54157032313
28,1,spatial,-0.534409604328
15,4,ptsd,-0.532118717439
118,3,gaze,-0.523313520069
146,3,drug_methods,-0.521709158251
56,1,spatial_methods,-0.503733621154
229,2,body,-0.499834254427
111,4,music,-0.485161073228
201,2,sensory,-0.484907193294
76,1,action,-0.4825012963
14,3,ptsd,-0.481699017912
63,4,pain,-0.479973987691
206,3,visual-motion,-0.477393560704
42,3,eating-disorder,-0.474157008796
43,4,eating-disorder,-0.472788016545
216,1,novelty,-0.469348987178
113,2,language,-0.447166545764
221,2,speech,-0.447035379692
52,1,training,-0.442500743529
54,3,training,-0.438567548716
232,1,conflict,-0.427645095859
123,4,methods2,-0.42581806803
239,4,olfaction,-0.424867306395
45,2,sequences,-0.422671710156
223,4,speech,-0.408949425233
18,3,adhd,-0.408345579739
92,1,methods1,-0.40616183627
51,4,reward,-0.40090182435
97,2,fear,-0.398772325203
55,4,training,-0.39695086785
34,3,depression,-0.381699285597
129,2,math,-0.378262330928
110,3,music,-0.377468480811
230,3,body,-0.372268021607
9,2,imagery,-0.364950254022
57,2,spatial_methods,-0.355342629916
237,2,olfaction,-0.353233742867
99,4,fear,-0.352973056226
109,2,music,-0.349892483212
47,4,sequences,-0.348872047805
27,4,motor,-0.336307210236
119,4,gaze,-0.330897580502
153,2,genetics,-0.322327262871
58,3,spatial_methods,-0.317846276921
8,1,imagery,-0.312551430953
93,2,methods1,-0.309893958528
161,2,reading,-0.308532643044
108,1,music,-0.303882536778
147,4,drug_methods,-0.301245189479
91,4,sex,-0.300286358131
152,1,genetics,-0.286326141394
228,1,body,-0.277749655603
145,2,drug_methods,-0.275708681874
95,4,methods1,-0.273198073232
59,4,spatial_methods,-0.270575990681
77,2,action,-0.269131840981
202,3,sensory,-0.26597382803
50,3,reward,-0.264321101319
33,2,depression,-0.259206750216
165,2,face/emotion,-0.258588068708
235,4,conflict,-0.257538079509
222,3,speech,-0.254769888154
86,3,schizopherenia,-0.253671304061
61,2,pain,-0.24798660096
167,4,face/emotion,-0.247014774224
187,4,learning,-0.242750595225
53,2,training,-0.239460980661
192,1,priming,-0.234354559004
188,1,WM,-0.230612790647
137,2,taste,-0.230389851642
170,3,methods3,-0.229048355284
234,3,conflict,-0.219754833082
207,4,visual-motion,-0.216741740967
72,1,semantics,-0.18839725445
203,4,sensory,-0.185149640425
17,2,adhd,-0.183380802419
168,1,methods3,-0.183309884096
171,4,methods3,-0.183107397654
139,4,taste,-0.181923033656
233,2,conflict,-0.181839327423
100,1,categorization,-0.177143945562
172,1,cues,-0.175982159289
4,1,attention,-0.175367638985
5,2,attention,-0.170734286343
90,3,sex,-0.163954117705
94,3,methods1,-0.161590640365
35,4,depression,-0.154645994441
125,2,inhibition,-0.149143228298
231,4,body,-0.147214476187
38,3,autism,-0.140575857079
87,4,schizopherenia,-0.134359263875
175,4,cues,-0.127592979039
217,2,novelty,-0.125208617168
29,2,spatial,-0.121479478412
46,3,sequences,-0.120465409056
122,3,methods2,-0.112223181219
36,1,autism,-0.105864813047
174,3,cues,-0.0982809890352
173,2,cues,-0.0973120032146
114,3,language,-0.0960434334187
10,3,imagery,-0.0944489067829
169,2,methods3,-0.0892894268809
120,1,methods2,-0.0872955494241
143,4,communication,-0.0857272995673
195,4,priming,-0.0829847593209
191,4,WM,-0.0769899393704
89,2,sex,-0.0750491959749
19,4,adhd,-0.0742325395194
121,2,methods2,-0.072866154681
107,4,switching,-0.0685664427512
164,1,face/emotion,-0.0675267285686
185,2,learning,-0.053334901677
186,3,learning,-0.0524371370479
126,3,inhibition,-0.0520249552265
104,1,switching,-0.0457890306999
176,1,errors,-0.0425269191141
115,4,language,-0.0392326922918
30,3,spatial,-0.0362486867803
219,4,novelty,-0.025775109225
39,4,autism,-0.0244533009182
163,4,reading,-0.0230474016514
127,4,inhibition,-0.0197068599376
227,4,emotion,-0.016862278006
31,4,spatial,-0.00570302041884
85,2,schizopherenia,-0.00324741719527
20,1,causal,0.00125249747576
13,2,ptsd,0.00553319405432
193,2,priming,0.0128381238064
179,4,errors,0.0135000667973
131,4,math,0.0142891249721
41,2,eating-disorder,0.0187598263354
101,2,categorization,0.0252687612611
178,3,errors,0.0266908133669
84,1,schizopherenia,0.0290628741117
124,1,inhibition,0.0293614515136
180,1,methods4,0.0408169517454
37,2,autism,0.0464317191098
21,2,causal,0.0479177176326
80,1,scene,0.0537825830042
181,2,methods4,0.0555111911348
226,3,emotion,0.0568736968533
23,4,causal,0.0622432734899
189,2,WM,0.0648074227279
134,3,game,0.0709245711117
183,4,methods4,0.0759122348582
190,3,WM,0.0774873642368
6,3,attention,0.0779393456259
194,3,priming,0.0790068080577
184,1,learning,0.0806682083747
11,4,imagery,0.0834970540023
150,3,smoking,0.0837041491965
133,2,game,0.0888309060555
198,3,Alzheimer-Parkinson,0.0921967552266
103,4,categorization,0.0935962626355
140,1,communication,0.0965170515102
177,2,errors,0.0969435598729
151,4,smoking,0.0973742331062
49,2,reward,0.100999537246
81,2,scene,0.107449709763
182,3,methods4,0.107824375249
75,4,semantics,0.112113374443
60,1,pain,0.114780803529
7,4,attention,0.130543631477
