,region,topic_name,hi_ci,low_ci,mean
1,dorsal,WM,0.658201559959,0.21169028449,0.457279707262
4,dorsal,attention,0.175635207081,-1.35663554976,-0.589761606487
6,dorsal,awareness,-0.0923850901573,-1.06859231417,-0.558582631583
8,dorsal,categorization,0.721802885452,-0.348989744727,0.220220585917
13,dorsal,decision-making,0.0997181468462,-0.00863828781883,0.0486411068064
17,dorsal,emotion,-0.323569730212,-0.945145383418,-0.606448657781
20,dorsal,fear,0.593561124835,-0.0667662096069,0.298310664353
24,dorsal,imagery,0.176065708091,-0.694732071868,-0.231849936408
25,dorsal,inhibition,-0.00151743815743,-1.35542085922,-0.546693377523
26,dorsal,language,0.60612167606,-0.552261249839,0.108880446473
27,dorsal,learning,-0.114741066511,-0.676185436436,-0.365438716424
28,dorsal,math,0.580438515873,-0.0719850899175,0.301330973581
29,dorsal,memory,0.458935901308,-0.133570140049,0.143247404619
41,dorsal,priming,1.01652184109,0.517601229191,0.753615776595
43,dorsal,reading,0.239303604348,-0.402145975592,-0.0402712823518
44,dorsal,reward,0.186179518845,-0.456552402765,-0.0778434955284
47,dorsal,semantics,0.425374187506,-0.385754291559,0.0706459102244
52,dorsal,social,0.615262195692,0.0153616346409,0.375771265426
53,dorsal,spatial,0.919681683072,0.171674875144,0.501245514286
56,dorsal,switching,0.779507170175,-0.304513893204,0.188477543328
61,posterior,WM,0.735537384565,0.32385021418,0.519707695265
64,posterior,attention,0.238665725328,-1.16195483145,-0.379165164905
66,posterior,awareness,0.0515605817817,-1.28010396696,-0.456681743173
68,posterior,categorization,0.516538413498,-0.404085439205,0.0109797975831
73,posterior,decision-making,0.171231668804,0.0322742082636,0.102289212615
77,posterior,emotion,-0.198466668167,-0.8196237887,-0.48147103766
80,posterior,fear,0.267371301828,-0.674428433019,-0.168588732988
84,posterior,imagery,0.0692969100441,-0.8230566336,-0.339423353809
85,posterior,inhibition,0.14349103149,-1.04568462915,-0.3233085715
86,posterior,language,0.650031476489,-0.669060912833,0.0329916670034
87,posterior,learning,0.238956519891,-0.472518572981,-0.210969461774
88,posterior,math,0.456794336762,-0.200951926038,0.113822913728
89,posterior,memory,-0.0169620536927,-0.77096206695,-0.396186700526
101,posterior,priming,1.03193717812,0.603073563659,0.803305002524
103,posterior,reading,0.225006122928,-0.428089938854,-0.0949430957381
104,posterior,reward,0.481977041256,-0.1218256312,0.16706922575
107,posterior,semantics,0.547011096114,-0.316399157342,0.12841855502
112,posterior,social,0.48639502425,-0.123660510563,0.240909525034
113,posterior,spatial,1.29410362102,0.65708694059,0.974915837915
116,posterior,switching,0.121978039714,-1.3180800023,-0.463837519915
121,ventral,WM,0.70964753799,0.303245594102,0.502974518005
124,ventral,attention,-0.234833476141,-1.79276742087,-0.782562348326
126,ventral,awareness,-0.448753231502,-1.48037604765,-0.823337837889
128,ventral,categorization,0.563841118901,-0.264378827989,0.171339926105
133,ventral,decision-making,0.152380982852,0.0463682571471,0.103239157037
137,ventral,emotion,-0.445150217214,-0.9918343792,-0.750881230108
140,ventral,fear,0.166215653763,-0.434459874015,-0.125861144583
144,ventral,imagery,0.0367848604305,-0.894956942758,-0.381253922872
145,ventral,inhibition,-0.0634592920523,-1.12036163557,-0.603827488244
146,ventral,language,1.20587028135,0.146849199817,0.6734908607
147,ventral,learning,-0.216176611688,-0.763380916425,-0.510040560618
148,ventral,math,0.461917692916,-0.103071140443,0.172913557293
149,ventral,memory,-0.0185194444702,-0.933356304386,-0.420852912797
161,ventral,priming,0.877653544452,0.460524484058,0.694063542174
163,ventral,reading,0.261305118831,-0.352283643785,-0.0264924185091
164,ventral,reward,0.485428852719,-0.010549484386,0.211986314477
167,ventral,semantics,0.344558310179,-0.561184968481,-0.09093283968
172,ventral,social,0.905496290171,0.447835993701,0.702420580199
173,ventral,spatial,1.21133840569,0.380761745434,0.819855409432
176,ventral,switching,0.725752685014,-0.523802344346,0.0323116750689
