,ROI,nickname,lor_z,p,p_corr_01,reject_01
9,ventral,ptsd,-3.00240042779,0.00267859584548,0.0132484955045,False
10,posterior,ptsd,-2.20893039306,0.027179482815,0.065620550354,False
11,dorsal,ptsd,-2.88754022704,0.00388266954285,0.013725236834,False
12,ventral,adhd,-3.7505063204,0.000176477856399,0.00124769844474,False
13,posterior,adhd,-2.36026207519,0.0182620285638,0.0553339465484,False
14,dorsal,adhd,-1.19212876774,0.233210758557,0.290964716999,False
24,ventral,depression,-2.19946821885,0.0278446465434,0.065620550354,False
25,posterior,depression,-1.82717305235,0.0676737542147,0.116583979707,False
26,dorsal,depression,-1.76864508487,0.0769531219191,0.116583979707,False
27,ventral,autism,-1.02223264233,0.306670804713,0.339020407747,False
28,posterior,autism,-0.831639396832,0.405612517522,0.409668642698,False
29,dorsal,autism,0.148744306443,0.881755398614,0.779251333525,False
30,ventral,eating-disorder,-6.70694391191,1.98743244084e-11,4.21534420703e-10,False
31,posterior,eating-disorder,-2.95534736026,0.00312317197184,0.0132484955045,False
32,dorsal,eating-disorder,-4.59479401807,4.33176952086e-06,4.59384157687e-05,False
63,ventral,schizopherenia,-0.676497848489,0.498724611586,0.461125547393,False
64,posterior,schizopherenia,-1.51175037622,0.130597377804,0.173123148952,False
65,dorsal,schizopherenia,-1.90511882128,0.0567646273676,0.116583979707,False
111,ventral,smoking,1.80178147674,0.0715797931602,0.116583979707,False
112,posterior,smoking,0.995116141307,0.319679780997,0.339020407747,False
113,dorsal,smoking,1.65152346985,0.0986317324328,0.13946526966,False
147,ventral,Alzheimer-Parkinson,0.674423907101,0.500041847716,0.461125547393,False
148,posterior,Alzheimer-Parkinson,1.02884715238,0.303551505297,0.339020407747,False
149,dorsal,Alzheimer-Parkinson,1.83616932304,0.0663326181787,0.116583979707,False
