,region,topic_name,hi_ci,low_ci,mean
0,dorsal,Alzheimer-Parkinson,0.0652689088434,-0.71093625915,-0.307061778372
3,dorsal,adhd,-0.223309482049,-0.911068814485,-0.50790029094
5,dorsal,autism,-0.0311582347007,-0.505135464313,-0.256215680205
14,dorsal,depression,0.898816278773,0.261098283461,0.59066264603
16,dorsal,eating-disorder,-0.226733949049,-0.819972015535,-0.489839404771
42,dorsal,ptsd,0.642578896545,0.0507153838124,0.351717477063
46,dorsal,schizopherenia,-0.128117361475,-1.06348071918,-0.619889749422
51,dorsal,smoking,0.0445775411331,-0.46955036822,-0.229618198398
60,ventral,Alzheimer-Parkinson,-0.0384215133592,-0.918061631103,-0.356877296974
63,ventral,adhd,-0.0456696017336,-0.825279983633,-0.424813438022
65,ventral,autism,0.196084150939,-0.337108689095,-0.0614533016508
74,ventral,depression,0.701163823184,0.123745519668,0.436462316653
76,ventral,eating-disorder,-0.08581350863,-0.645834412848,-0.372107822134
102,ventral,ptsd,0.929456685251,0.421891936421,0.748036559896
106,ventral,schizopherenia,-0.406200616368,-1.45150759231,-0.829762290717
111,ventral,smoking,0.165030607216,-0.451609762789,-0.223274890139
