,ROI,nickname,lor_z,p,p_corr_01,reject_01
12,MPFC,ptsd,1.40007089771,0.161492088854,0.188860748123,False
13,PCC,ptsd,0.125668419591,0.899994401155,0.645092761086,False
14,lTPJ,ptsd,-4.05708526159,4.96889461454e-05,0.000184014730559,False
15,rTPJ,ptsd,-4.14781245844,3.35667183493e-05,0.000166982095342,False
16,MPFC,adhd,1.96853020427,0.0490070643362,0.0907447474625,False
17,PCC,adhd,-1.53176976861,0.125579258704,0.174398195525,False
18,lTPJ,adhd,-3.68728198663,0.00022666213944,0.000719490391195,False
19,rTPJ,adhd,-0.520884844576,0.602446993616,0.51486046916,False
32,MPFC,depression,3.64852282945,0.000263752468819,0.000732572482144,True
33,PCC,depression,-1.68386118607,0.09220849904,0.146348060619,False
34,lTPJ,depression,-2.74729759743,0.00600885842429,0.0121378940171,False
35,rTPJ,depression,-0.916723911844,0.359287332643,0.352541752329,False
36,MPFC,autism,-1.08442630646,0.278175825106,0.309053341692,False
37,PCC,autism,0.484082276622,0.62832747894,0.51709024378,False
38,lTPJ,autism,-1.44155250863,0.149428654227,0.188860748123,False
39,rTPJ,autism,-0.218655541698,0.826918383488,0.633590568314,False
40,MPFC,eating-disorder,3.20304295378,0.00135983697091,0.00302155774936,True
41,PCC,eating-disorder,0.17025038146,0.864813231341,0.640538333346,False
42,lTPJ,eating-disorder,-4.52491728303,6.04191317199e-06,6.71256553409e-05,False
43,rTPJ,eating-disorder,-4.16313466844,3.13908100298e-05,0.000166982095342,False
84,MPFC,schizopherenia,0.235761408031,0.813617815978,0.633590568314,False
85,PCC,schizopherenia,0.0616865149305,0.950812479044,0.660220415136,False
86,lTPJ,schizopherenia,-1.69799122899,0.0895094172736,0.146348060619,False
87,rTPJ,schizopherenia,-0.748595817189,0.454100853965,0.420421707296,False
148,MPFC,smoking,7.05944267848,1.67177383048e-12,3.71468145133e-11,True
149,PCC,smoking,4.12190798721,3.75747289247e-05,0.000166982095342,True
150,lTPJ,smoking,0.915094492919,0.360142025813,0.352541752329,False
151,rTPJ,smoking,0.906035230556,0.364917205381,0.352541752329,False
196,MPFC,Alzheimer-Parkinson,1.61063475169,0.107259354744,0.158886857495,False
197,PCC,Alzheimer-Parkinson,3.25617615594,0.00112923667567,0.00278795988149,True
198,lTPJ,Alzheimer-Parkinson,0.688572915689,0.491092070008,0.436482631823,False
199,rTPJ,Alzheimer-Parkinson,1.40673639781,0.159505568529,0.188860748123,False
