,region,topic_name,hi_ci,low_ci,mean
0,dorsal,Alzheimer-Parkinson,0.314717917441,-0.542911168404,-0.0761212169947
3,dorsal,adhd,0.166403161408,-0.660417523936,-0.13354660038
5,dorsal,autism,0.467585218643,-0.184940180388,0.115718828221
14,dorsal,depression,0.5749315234,-0.238818190599,0.150075987023
16,dorsal,eating-disorder,0.158476496129,-0.355617211339,-0.134394756867
42,dorsal,ptsd,0.476628121386,-0.238652725629,0.191222570241
46,dorsal,schizopherenia,0.12370667776,-0.918192759624,-0.393303072192
51,dorsal,smoking,0.347913009659,-0.2256326797,0.0742090336287
60,medial,Alzheimer-Parkinson,0.213542190983,-0.507084518934,-0.150305128083
63,medial,adhd,0.0723285342583,-0.677871128866,-0.288020804463
65,medial,autism,0.454910000858,-0.198939306201,0.109560637918
74,medial,depression,0.817711340842,0.220313481258,0.520499671642
76,medial,eating-disorder,-0.0717167832639,-0.653849333714,-0.344625987268
102,medial,ptsd,0.19564148997,-0.605960129624,-0.16588207036
106,medial,schizopherenia,-0.0182959979347,-0.903614113723,-0.435016957036
111,medial,smoking,-0.0117345460449,-0.55837198089,-0.309597071497
120,ventral,Alzheimer-Parkinson,0.387234822754,-0.803636829701,-0.222492299665
123,ventral,adhd,0.0128889560239,-0.875114434285,-0.374707666062
125,ventral,autism,0.286871316656,-0.247680941435,0.0291737454485
134,ventral,depression,0.726641643619,-0.208896230874,0.359359219406
136,ventral,eating-disorder,-0.0546569648878,-0.745349961106,-0.368785570145
162,ventral,ptsd,0.393901403095,-0.298323201523,0.067164865296
166,ventral,schizopherenia,0.0529568951025,-1.10383734268,-0.479023054549
171,ventral,smoking,0.155166435807,-0.497060717704,-0.170552958006
