,region,topic_name,hi_ci,low_ci,mean
1,dorsal,WM,0.761039560955,0.398410738543,0.57940730659
4,dorsal,attention,0.641244620586,-0.412573947598,0.147757923235
6,dorsal,awareness,0.00391487466079,-1.4054917918,-0.460966486186
8,dorsal,categorization,0.183464429305,-0.841098582289,-0.300182248699
13,dorsal,decision-making,0.0870541928194,-0.0376923343561,0.0214673468061
17,dorsal,emotion,-0.0467374612402,-0.676705772906,-0.359375298034
20,dorsal,fear,0.354531940542,-0.459007589662,-0.00230766928058
24,dorsal,imagery,0.107464838736,-0.735309178479,-0.345126511939
25,dorsal,inhibition,0.340968080834,-0.653801025327,-0.213741025933
26,dorsal,language,1.00035359043,-0.108081419533,0.379400060091
27,dorsal,learning,-0.411865735866,-1.12801641786,-0.710771542836
28,dorsal,math,0.868153655729,0.23951314725,0.524786495977
29,dorsal,memory,0.254518026888,-0.481610888116,-0.158041506853
41,dorsal,priming,0.820581128288,0.472418373363,0.653653586789
43,dorsal,reading,0.385577315968,-0.317163380429,0.0708626814276
44,dorsal,reward,0.299716492864,-0.168968342284,0.0373573595981
47,dorsal,semantics,0.830133003479,0.033163527066,0.462834888828
52,dorsal,social,0.423423957462,-0.0779031451811,0.208157878769
53,dorsal,spatial,0.827480383844,0.171197661573,0.522084932317
56,dorsal,switching,0.514022794104,-0.637017195103,-0.010138443455
61,medial,WM,0.77702381529,0.464747866943,0.646632718515
64,medial,attention,0.338553928822,-0.869651948315,-0.212591917321
66,medial,awareness,0.110934192437,-0.852270766022,-0.38048866002
68,medial,categorization,0.334504873096,-1.02700915263,-0.256977678
73,medial,decision-making,0.138350569427,0.00213464814356,0.0729086631738
77,medial,emotion,-0.447624860445,-1.14036424152,-0.813583608539
80,medial,fear,-0.0984650719215,-0.83947686014,-0.470963744801
84,medial,imagery,-0.221686415158,-1.22954901052,-0.679342366653
85,medial,inhibition,0.0123368498752,-1.02301038836,-0.394250674999
86,medial,language,0.852029196894,-0.31177325866,0.337882321501
87,medial,learning,-0.369961236771,-1.07597777084,-0.660344667755
88,medial,math,0.517168344016,-0.171042291816,0.214499740102
89,medial,memory,-0.0725971256619,-0.8158569365,-0.383415392292
101,medial,priming,0.903639169111,0.455036277192,0.657741895931
103,medial,reading,0.065905673756,-0.472570927905,-0.216795117574
104,medial,reward,0.230170804146,-0.309283907976,-0.0314173482972
107,medial,semantics,0.456888755356,-0.305446476141,0.0806373809315
112,medial,social,0.899673756951,0.54796720296,0.718747239343
113,medial,spatial,1.24453993321,0.655810130924,0.960080715439
116,medial,switching,0.525769812422,-0.594419173978,0.105919915249
121,ventral,WM,0.788698885102,0.406557869116,0.581844297322
124,ventral,attention,0.38379119736,-1.18506516143,-0.1864614644
126,ventral,awareness,0.362084470538,-0.969668620502,-0.188420306465
128,ventral,categorization,0.140883472768,-1.3390901792,-0.528252373027
133,ventral,decision-making,0.100325022212,-0.0554563459518,0.0270703211251
137,ventral,emotion,-0.304458762612,-0.988326645628,-0.604749959686
140,ventral,fear,0.137441862394,-0.836457369712,-0.278580235211
144,ventral,imagery,0.161851691347,-0.671775684079,-0.213079102091
145,ventral,inhibition,0.258880499845,-0.982270673798,-0.265189455001
146,ventral,language,0.42102025418,-0.98991747487,-0.226052513125
147,ventral,learning,-0.0778218140657,-0.750236675486,-0.426498342537
148,ventral,math,0.537410582042,-0.164450093918,0.187389174328
149,ventral,memory,0.1891078444,-0.684759851586,-0.239382936823
161,ventral,priming,0.878263186037,0.506017013072,0.723659316035
163,ventral,reading,0.410280704418,-0.417464182256,-0.0695567897014
164,ventral,reward,0.544878501287,-0.162388238223,0.240141886141
167,ventral,semantics,0.152831445891,-0.79555737063,-0.226634136024
172,ventral,social,0.38980138842,-0.0730833715737,0.17270799946
173,ventral,spatial,1.44797749772,0.679722182234,1.09270362242
176,ventral,switching,0.930837207827,-0.335568115334,0.41215506159
