,ROI,nickname,lor_z,p,p_corr_01,reject_01
6,ventral,ptsd,0.223506699153,0.823141169828,0.695628431529,False
7,dorsal,ptsd,1.37631013556,0.168725636285,0.260901799318,False
8,ventral,adhd,1.56523233371,0.117528442634,0.220449778826,False
9,dorsal,adhd,1.34434774514,0.178835962975,0.260901799318,False
16,ventral,depression,2.82771991357,0.00468808034192,0.0153886237223,True
17,dorsal,depression,2.41906072542,0.0155606422747,0.0408622466132,True
18,ventral,autism,-1.22585777227,0.220252202091,0.289191141346,False
19,dorsal,autism,0.599731749716,0.548685025075,0.554171875325,False
20,ventral,eating-disorder,3.75373002821,0.000174222503662,0.000762513824359,True
21,dorsal,eating-disorder,-0.388686434475,0.69750811857,0.654162971202,False
42,ventral,schizopherenia,0.732370565823,0.463942419223,0.507630330366,False
43,dorsal,schizopherenia,0.19207780913,0.847681257004,0.695628431529,False
74,ventral,smoking,6.07772529389,1.21899357275e-09,1.60053856102e-08,True
75,dorsal,smoking,3.90990845291,9.23311070569e-05,0.000606153717828,True
98,ventral,Alzheimer-Parkinson,0.882551567039,0.377478606569,0.450572191295,False
99,dorsal,Alzheimer-Parkinson,1.83778628028,0.06609390408,0.144635493428,False
